,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
63-24-20-204 O H,"INSTALA€ÇO DE CONDICIONADOR DE AR TIPO SPLIT HIGH WALL, 24.000 BTU/H - APENAS M.O. (NOVO)","  10,00 "," R$  666,00 "," R$  6.660,00 ","0,1355923858","92,91225408",B
62-23-74-273 U ,"REBOCO PARA PAREDE INTERNA OU EXTERNA,COM ARGAMASSA PRÉ-FABRICADA,E=5MM","  150,00 "," R$  44,24 "," R$  6.636,00 ","0,1351037646","93,04735784",B
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  2,00 "," R$  3.301,81 "," R$  6.603,62 ","0,1344445332","93,18180238",B
62-23-65-100 O H,"CAIXA DE PASSAGEM EM PVC, SOBREPOR, DIMENSÕES 20X20X10 CM - FORNECIMENTO E INSTALAÇÃO - ELÉTRICA","  35,00 "," R$  186,62 "," R$  6.531,70 ","0,1329802983","93,31478267",B
63-20-11-004 O ,PINTURA ACRÍLICA SEMI-BRILHO SUVINIL NACOR BRANCO NEVE,"  150,00 "," R$  43,28 "," R$  6.492,00 ","0,1321720374","93,44695471",B
66-23-91-017 U ,LONA PLÁSTICA PRETA ESP.= 150 MICRAS (ORSE/3642),"  750,00 "," R$  8,19 "," R$  6.142,50 ","0,125056491","93,5720112",B
01-21-04-250,MONTAGEM E DESMONTAGEM DE ANDAIME TUBULAR TIPO ?TORRE? (EXCLUSIVE ANDAIME E LIMPEZA). AF_11/2017 CS: 97064,"  200,00 "," R$  29,86 "," R$  5.971,29 ","0,1215706999","93,6935819",B
73-22-33-079 O ,TIRANTE COM ROSCA TOTAL Ø=3/8 PARA FIXAÇÃO DE ELETROCALHAS E CANTONEIRAS DE SUPORTE DOS DUTOS DE AR CONDICIONADOS E AFINS,"150,00 ","39,80 ","5.970,00 ","0,1215445261","93,81512643",B
66-23-68-024 U H,"CABO ÓPTICO, MULTIMODO, 50/125, EXTERNO,ANTI-ROEDOR, 04 FIBRAS ÓPTICAS, FURUKA_WA OU SIMILAR TÉCNICO","  250,00 "," R$  22,23 "," R$  5.557,50 ","0,113146349","93,92827278",B
63-23-01-993 O H,AVISADOR AUDIO VISUAL ENDERE€µVEL - FORNECIMENTO E INSTALA€ÇO,"  22,00 "," R$  251,81 "," R$  5.539,82 ","0,112786398","94,04105917",B
01-18-01-022 O ,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM PAREDE, UMA DEMÃO, LIXAMENTO MANUAL. AF_04/2023 CS: 88495","  360,00 "," R$  15,33 "," R$  5.518,80 ","0,1123584473","94,15341762",B
62-23-74-076 U H,"ABRACADEIRA EM ACO =3/4, TIPO D, C/ PARAFUSO DE FIXA€ÇO","  800,00 "," R$  6,82 "," R$  5.456,00 ","0,1110798885","94,26449751",B
63-09-01-002 U H,ELETROCALHA PERFURADA EM AÇO GALVANIZADO 200X100X3000MM COM TAMPA - FORNECIMENTO E INSTALAÇÃO,"  37,00 "," R$  140,80 "," R$  5.209,60 ","0,1060633774","94,37056089",B
63-21-03-025 O H,SUPORTE EM CHAPA DE AÇO PARA PERFILADO - FORNECIMENTO E INSTALAÇÃO,"  375,00 "," R$  13,73 "," R$  5.148,75 ","0,104824519","94,47538541",B
63-21-05-079 O ,LIMPEZA FINAL DA OBRA (9537),"  1.000,00 "," R$  5,01 "," R$  5.010,00 ","0,1019996776","94,57738508",B
01-11-03-004 C H 91927,"CABO DE COBRE FLEXÖVEL ISOLADO, 2,5 MMý, ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALA€ÇO. AF _03/2023 CS: 91927","  1.200,00 "," R$  4,06 "," R$  4.872,00 ","0,09919010568","94,67657519",B
63-21-03-029 O H,PORCA E ARRUELA PARA PARAFUSOS COM Ø=1/4- FORNECIMENTO E INSTALAÇÃO,"  1.200,00 "," R$  3,72 "," R$  4.464,00 ","0,09088354511","94,76745874",B
64-23-74-096 O H,CAIXA DE SOBREPOR SISTEMA X P/ CANALETA 110X20MM,"  150,00 "," R$  28,84 "," R$  4.326,00 ","0,08807397315","94,85553271",B
62-23-74-118 O H,"SUPORTE MÇO FRANCESA EM PERFIS GALVANIZADOS PARA UNIDADES COND. 18000BTUS (PAR), INCLUSIVE PARAFUSOS DE FIXA€ÇO - INSTALADO","  27,00 "," R$  156,33 "," R$  4.220,91 ","0,08593442303","94,94146713",B
63-24-20-206 O H,"INSTALA€ÇO DE CONDICIONADOR DE AR TIPO SPLIT PISO-TETO, 36.000 BTU/H - APENAS M.O. (NOVO)","  4,00 "," R$  1.017,50 "," R$  4.070,00 ","0,08286201357","95,02432915",C
64-23-74-097 O H,"DERIVAÇÃO DE 110X20MM, SISTEMA X","  190,00 "," R$  21,35 "," R$  4.056,50 ","0,08258716414","95,10691631",C
"01-13-10-023 C H
90462","SUPORTE PARA 2 TUBOS VERTICAIS, ESPA€ADO A CADA 150 CM, EM PERFILADO COM COMPRIMENTO DE 25 CM FIXADO EM PAREDE, POR METRO DE TUBULA€ÇO FIXADA. AF_09/2023 CS: 90462","  900,00 "," R$  4,48 "," R$  4.032,00 ","0,08208836332","95,18900467",C
